아파트 이름,건축 연도,거래 연도,거래 월,거래 일,보증금(만원),월세(만원),전용 면적(㎡),층수,법정동명
두산,1999,2014,1,9,"25,000",0,59.95,14,창신동
숭인모범103동,2000,2014,1,7,"16,000",0,59.74,5,숭인동
창신쌍용2,1993,2014,1,4,"10,000",50,79.87,2,창신동
현대뜨레비앙,2003,2014,1,1,"1,000",85,36.08,6,익선동
동문상가,1970,2014,1,13,"1,000",60,45.3,6,창신동
MID그린(8동),2002,2014,1,1,"12,000",0,59.94,1,창신동
종로센트레빌,2008,2014,1,7,"39,000",0,114.67,4,숭인동
종로센트레빌,2008,2014,1,28,"27,000",0,59.92,6,숭인동
일성빌라트,1996,2014,1,21,"29,000",0,84.99,5,평창동
광화문스페이스본(101동~105동),2008,2014,1,23,"70,000",0,160.85,14,사직동
롯데낙천대,2001,2014,2,20,"43,000",0,110.53,14,평창동
벽산블루밍평창힐스,2004,2014,2,15,"47,000",0,150.83,2,평창동
건양하늘터,2006,2014,2,22,"6,000",130,84.78,3,명륜1가
창신쌍용1,1992,2014,2,24,"21,000",0,54.7,4,창신동
창신쌍용2,1993,2014,2,4,"22,000",0,79.87,5,창신동
아남1,1995,2014,2,26,"27,000",100,84.9,16,명륜2가
광화문스페이스본(101동~105동),2008,2014,2,15,"40,000",0,97.61,5,사직동
경희궁파크팰리스,2003,2014,2,22,"85,000",0,146.33,12,내수동
창신쌍용2,1993,2014,2,28,"18,000",20,79.87,2,창신동
동대문,1966,2014,2,14,"1,000",45,28.8,3,창신동
창신쌍용1,1992,2014,3,31,"24,500",0,79.87,4,창신동
광화문스페이스본(101동~105동),2008,2014,3,20,"72,000",0,151.81,13,사직동
아남1,1995,2014,3,22,"38,000",0,84.8,5,명륜2가
두산,1999,2014,3,28,"40,000",0,84.9,11,창신동
숭인모범104동,2000,2014,3,7,"13,000",0,59.74,3,숭인동
창신쌍용1,1992,2014,3,4,"24,000",0,79.87,9,창신동
건양하늘터,2006,2014,3,27,"34,000",0,84.78,3,명륜1가
인왕산아이파크,2008,2014,3,18,"53,000",0,114.931,6,무악동
두산,1999,2014,3,30,"21,000",0,84.9,8,창신동
갑을아파트,1997,2014,3,18,"1,000",50,30.46,12,평창동
아남1,1995,2014,4,17,"45,000",0,84.9,3,명륜2가
두산,1999,2014,4,24,"32,000",0,84.9,2,창신동
창신쌍용2,1993,2014,4,25,"26,000",0,106.62,12,창신동
,2008,2014,4,30,"19,000",0,48.887,2,무악동
경희궁파크팰리스,2003,2014,4,7,"75,000",0,146.39,5,내수동
광화문스페이스본(101동~105동),2008,2014,4,16,"55,000",0,95.88,10,사직동
종로센트레빌,2008,2014,4,14,"20,000",0,84.92,10,숭인동
갑을아파트,1997,2014,4,28,"15,000",0,53.33,6,평창동
광화문스페이스본(106동),2008,2014,4,11,"71,000",0,144.52,10,사직동
두산,1999,2014,4,22,"24,000",0,59.95,7,창신동
인왕산아이파크,2008,2014,5,9,"37,000",50,84.858,10,무악동
효성쥬얼리시티,2006,2014,5,31,"26,000",0,106.81,12,인의동
현대뜨레비앙,2003,2014,5,31,"10,000",0,46.64,3,익선동
광화문스페이스본(101동~105동),2008,2014,5,24,"72,000",0,158.99,7,사직동
인왕산아이파크,2008,2014,5,23,"52,000",0,114.931,2,무악동
CS타워,2011,2014,5,10,"1,000",70,22.17,10,충신동
삼전솔하임4차,2014,2014,5,26,"1,000",50,15.09,11,숭인동
인왕산아이파크,2008,2014,5,26,"45,000",0,84.858,15,무악동
창신쌍용1,1992,2014,5,29,"15,000",30,79.87,12,창신동
한빛,1999,2014,5,28,"2,000",110,59.73,2,명륜3가
현대,2000,2014,6,28,"28,000",0,60,5,무악동
창신쌍용2,1993,2014,6,12,"19,000",0,64.66,7,창신동
창신쌍용2,1993,2014,6,28,"26,000",0,106.62,12,창신동
창신쌍용1,1992,2014,6,30,"2,500",0,54.7,6,창신동
