아파트 이름,거래 금액(만원),거래 연도,거래 월,거래 일,전용 면적(㎡),층수,법정동명,도로명 주소
현대,"63,935",2014,1,22,114.9,10,무악동,통일로
광화문스페이스본(101동~105동),"90,000",2014,1,21,151.81,2,사직동,사직로8길
효성쥬얼리시티,"47,000",2014,1,23,84.98,7,인의동,종로
현대,"57,800",2014,1,29,114.9,10,무악동,통일로
광화문스페이스본(101동~105동),"73,000",2014,1,29,94.51,8,사직동,사직로8길
광화문스페이스본(106동),"135,000",2014,1,17,153.42,10,사직동,경희궁길
경희궁의아침3단지,"114,000",2014,1,23,150.48,7,내수동,사직로8길
인왕산아이파크,"59,800",2014,1,28,84.858,16,무악동,통일로18길
대아파크빌,"25,000",2014,1,28,59.22,14,신영동,진흥로
아남1,"55,000",2014,1,21,84.9,18,명륜2가,창경궁로
광화문스페이스본(106동),"110,000",2014,2,27,163.33,1,사직동,경희궁길
신문로맨션,"49,500",2014,2,28,98.31,8,신문로1가,새문안로3길
두산,"28,000",2014,2,17,59.95,1,창신동,지봉로5길
창신쌍용2,"24,500",2014,2,10,64.66,3,창신동,낙산길
건양하늘터,"43,500",2014,2,11,84.78,1,명륜1가,혜화로9길
두산,"35,400",2014,2,24,59.95,4,창신동,지봉로5길
창신쌍용2,"25,400",2014,2,19,54.7,9,창신동,낙산길
인왕산아이파크,"72,000",2014,2,28,114.931,5,무악동,통일로18길
아남1,"55,000",2014,2,22,84.9,7,명륜2가,창경궁로
창신쌍용2,"30,000",2014,2,21,79.87,6,창신동,낙산길
창신쌍용1,"32,400",2014,3,25,79.87,9,창신동,동망산길
두산,"36,350",2014,3,14,59.95,9,창신동,지봉로5길
일우,"23,500",2014,3,28,59.3,2,창신동,창신길
종로청계힐스테이트,"38,500",2014,3,29,59.9426,12,숭인동,숭인동길
하림빌라트,"15,000",2014,3,14,30.41,5,숭인동,숭인동길
경희궁의아침4단지,"109,000",2014,3,28,150.77,11,내수동,새문안로3길
현대,"46,950",2014,3,30,84.92,3,무악동,통일로
광화문스페이스본(101동~105동),"72,000",2014,3,18,94.28,3,사직동,사직로8길
창신쌍용2,"24,450",2014,3,28,54.7,12,창신동,낙산길
광화문스페이스본(101동~105동),"71,000",2014,3,13,94.28,5,사직동,사직로8길
광화문스페이스본(106동),"99,000",2014,4,23,153.42,1,사직동,경희궁길
창신쌍용2,"29,500",2014,4,23,79.87,3,창신동,낙산길
인왕산아이파크,"59,800",2014,4,18,84.858,13,무악동,통일로18길
광화문스페이스본(101동~105동),"69,500",2014,4,21,94.51,7,사직동,사직로8길
롯데미도파광화문빌딩,"29,800",2014,4,18,65.82,7,당주동,세종대로23길
현대,"52,950",2014,4,26,84.92,15,무악동,통일로
현대,"52,850",2014,4,11,84.92,21,무악동,통일로
창신쌍용2,"23,400",2014,4,14,54.7,13,창신동,낙산길
종로센트레빌,"48,000",2014,4,24,84.92,7,숭인동,동망산길
두산,"35,500",2014,4,8,59.95,10,창신동,지봉로5길
종로센트레빌,"36,000",2014,5,24,59.92,4,숭인동,동망산길
현대,"54,490",2014,5,13,84.92,10,무악동,통일로
삼성,"28,400",2014,5,2,59.97,4,평창동,평창문화로
롯데낙천대,"42,500",2014,5,29,87.27,4,평창동,평창문화로
현대,"44,950",2014,5,28,84.92,5,무악동,통일로
종로센트레빌,"39,200",2014,5,26,59.92,9,숭인동,동망산길
건양하늘터,"44,200",2014,5,19,84.89,1,명륜1가,혜화로9길
인왕산아이파크,"62,500",2014,5,30,84.858,10,무악동,통일로18길
동문(482-0),"30,100",2014,5,12,59.64,3,숭인동,숭인동길
현대뜨레비앙,"20,000",2014,5,31,43.98,6,익선동,돈화문로11가길
인왕산아이파크,"54,000",2014,6,28,84.858,1,무악동,통일로18길
현대,"49,990",2014,6,17,114.9,1,무악동,통일로
종로센트레빌,"36,300",2014,6,4,59.92,3,숭인동,동망산길
종로청계힐스테이트,"51,450",2014,6,27,84.9478,11,숭인동,숭인동길
두산,"36,000",2014,6,2,59.95,5,창신동,지봉로5길
광화문스페이스본(101동~105동),"96,000",2014,6,14,126.34,7,사직동,사직로8길
도시그린빌라,"21,500",2014,6,7,57.45,3,숭인동,숭인동1길
송림아마레스아파트,"44,000",2014,6,25,84.62,4,명륜1가,성균관로17길
현대,"52,450",2014,6,24,84.92,15,무악동,통일로
인왕산아이파크,"52,500",2014,6,28,84.858,1,무악동,통일로18길
두산,"48,000",2014,7,23,84.9,5,창신동,지봉로5길
숭인한양LEEPS,"11,900",2014,7,31,12.78,8,숭인동,난계로29가길
부암스카이뷰,"34,300",2014,7,28,81.08,5,부암동,창의문로
창신쌍용1,"35,500",2014,7,31,79.87,4,창신동,동망산길
현대,"38,400",2014,7,19,60,13,무악동,통일로
롯데낙천대,"79,500",2014,7,22,133.34,14,평창동,평창문화로
인왕산아이파크,"57,500",2014,7,9,84.858,3,무악동,통일로18길
경희궁의아침3단지,"119,000",2014,7,21,149,13,내수동,사직로8길
현대,"53,970",2014,7,5,114.9,3,무악동,통일로
인왕산아이파크,"59,000",2014,7,3,84.858,9,무악동,통일로18길
부암스카이뷰,"34,300",2014,8,23,81,4,부암동,창의문로
경희궁파크팰리스,"89,500",2014,8,29,103.77,13,내수동,사직로8길
현대,"47,900",2014,8,30,84.92,12,무악동,통일로
MID그린(7동),"23,700",2014,8,25,59.04,1,창신동,창신길
현대,"58,000",2014,8,30,84.92,14,무악동,통일로
광화문스페이스본(101동~105동),"74,500",2014,8,18,94.51,7,사직동,사직로8길
인왕산아이파크,"59,500",2014,8,23,84.858,4,무악동,통일로18길
롯데낙천대,"47,500",2014,8,25,87.27,7,평창동,평창문화로
브라운스톤창신,"43,300",2014,8,18,84.81,7,창신동,지봉로
현대,"48,950",2014,8,21,84.92,4,무악동,통일로
롯데캐슬천지인,"50,000",2014,9,30,84.95,24,숭인동,종로
두산,"35,000",2014,9,30,59.95,19,창신동,지봉로5길
창신쌍용1,"32,500",2014,9,30,79.87,10,창신동,동망산길
현대,"58,750",2014,9,23,114.9,4,무악동,통일로
두산,"35,200",2014,9,20,59.95,20,창신동,지봉로5길
인왕산아이파크,"60,000",2014,9,30,84.858,12,무악동,통일로18길
경희궁의아침4단지,"110,000",2014,9,24,124.17,12,내수동,새문안로3길
종로센트레빌,"48,000",2014,9,28,84.92,10,숭인동,동망산길
종로청계힐스테이트,"38,950",2014,9,24,59.9426,7,숭인동,숭인동길
로얄팰리스스위트,"28,500",2014,9,13,29.31,12,수송동,율곡로2길
광화문스페이스본(101동~105동),"69,000",2014,10,31,94.51,1,사직동,사직로8길
창신이수,"50,000",2014,10,30,120.84,1,창신동,지봉로
대보,"43,000",2014,10,29,81.97,4,명륜1가,혜화로5길
인왕산아이파크,"60,000",2014,10,21,84.858,6,무악동,통일로16길
롯데캐슬로잔,"160,000",2014,10,30,225.857,3,평창동,평창문화로
인왕산아이파크,"63,400",2014,10,13,84.858,12,무악동,통일로18길
광화문스페이스본(101동~105동),"74,000",2014,10,14,95.88,8,사직동,사직로8길
창신쌍용2,"26,500",2014,10,22,64.66,10,창신동,낙산길
현대,"51,750",2014,10,22,84.92,6,무악동,통일로
현대,"45,450",2014,10,22,84.92,10,무악동,통일로
현대,"35,990",2014,11,24,60,8,무악동,통일로
광화문스페이스본(101동~105동),"70,700",2014,11,27,94.28,2,사직동,사직로8길
현대,"53,990",2014,11,29,84.92,9,무악동,통일로
현대,"44,490",2014,11,23,84.92,1,무악동,통일로
두산,"49,000",2014,11,29,84.9,17,창신동,지봉로5길
광화문스페이스본(101동~105동),"72,000",2014,11,15,94.51,5,사직동,사직로8길
현대,"37,990",2014,11,29,60,6,무악동,통일로
