년도,월,일,시간,측정지점,소음도,비고
2018,11,1,1,성수동,70.4,
2018,11,1,2,성수동,68.9,
2018,11,1,3,성수동,68.2,
2018,11,1,4,성수동,67.8,
2018,11,1,5,성수동,68.2,
2018,11,1,6,성수동,69.2,
2018,11,1,7,성수동,71.0,
2018,11,1,8,성수동,73.0,
2018,11,1,9,성수동,72.8,
2018,11,1,10,성수동,71.9,
2018,11,1,11,성수동,72.2,
2018,11,1,12,성수동,72.3,
2018,11,1,13,성수동,72.4,
2018,11,1,14,성수동,72.2,
2018,11,1,15,성수동,72.5,
2018,11,1,16,성수동,72.3,
2018,11,1,17,성수동,72.4,
2018,11,1,18,성수동,72.3,
2018,11,1,19,성수동,70.5,
2018,11,1,20,성수동,72.2,
2018,11,1,21,성수동,72.1,
2018,11,1,22,성수동,72.0,
2018,11,1,23,성수동,71.6,
2018,11,1,24,성수동,71.1,
2018,11,2,1,성수동,70.3,
2018,11,2,2,성수동,69.6,
2018,11,2,3,성수동,68.1,
2018,11,2,4,성수동,67.3,
2018,11,2,5,성수동,67.8,
2018,11,2,6,성수동,69.3,
2018,11,2,7,성수동,71.0,
2018,11,2,8,성수동,73.0,
2018,11,2,9,성수동,72.6,
2018,11,2,10,성수동,72.5,
2018,11,2,11,성수동,72.3,
2018,11,2,12,성수동,72.2,
2018,11,2,13,성수동,72.5,
2018,11,2,14,성수동,72.3,
2018,11,2,15,성수동,71.9,
2018,11,2,16,성수동,72.1,
2018,11,2,17,성수동,72.6,
2018,11,2,18,성수동,71.8,
2018,11,2,19,성수동,69.2,
2018,11,2,20,성수동,71.1,
2018,11,2,21,성수동,72.3,
2018,11,2,22,성수동,71.9,
2018,11,2,23,성수동,71.5,
2018,11,2,24,성수동,71.0,
2018,11,3,1,성수동,70.3,
2018,11,3,2,성수동,69.3,
2018,11,3,3,성수동,69.0,
2018,11,3,4,성수동,68.6,
2018,11,3,5,성수동,68.5,
2018,11,3,6,성수동,69.1,
2018,11,3,7,성수동,70.4,
2018,11,3,8,성수동,71.9,
2018,11,3,9,성수동,72.7,
2018,11,3,10,성수동,72.9,
2018,11,3,11,성수동,72.7,
2018,11,3,12,성수동,72.7,
2018,11,3,13,성수동,72.6,
2018,11,3,14,성수동,72.8,
2018,11,3,15,성수동,72.5,
2018,11,3,16,성수동,72.9,
2018,11,3,17,성수동,72.9,
2018,11,3,18,성수동,72.8,
2018,11,3,19,성수동,72.6,
2018,11,3,20,성수동,72.0,
2018,11,3,21,성수동,71.7,
2018,11,3,22,성수동,71.7,
2018,11,3,23,성수동,71.1,
2018,11,3,24,성수동,70.7,
2018,11,4,1,성수동,69.8,
2018,11,4,2,성수동,69.1,
2018,11,4,3,성수동,68.8,
2018,11,4,4,성수동,67.1,
2018,11,4,5,성수동,66.1,
2018,11,4,6,성수동,67.4,
2018,11,4,7,성수동,68.5,
2018,11,4,8,성수동,70.2,
2018,11,4,9,성수동,71.2,
2018,11,4,10,성수동,71.5,
2018,11,4,11,성수동,71.9,
2018,11,4,12,성수동,72.0,
2018,11,4,13,성수동,71.9,
2018,11,4,14,성수동,72.3,
2018,11,4,15,성수동,71.7,
2018,11,4,16,성수동,71.8,
